symbol,name,close,score,score_coverage,score_momentum,score_theme,score_capital,score_liquidity,ret_since_924,ret_ytd,close_position_250,dist_to_52w_high,close_position_20,history_days,listed_days,ret_20,ret_60,volume_trend_20,turnover_value_20,theme_tags,theme_heat_max,theme_days_20,lhb_count_20,lhb_net_buy_rel,main_net_inflow,margin_rz_chg_20,lhb_net_buy_20,theme_tag_count,theme_heat_sum,reason,listed_date,trade_date,amount,base_924,base_ytd,close_position_60,ma20_dev,ma60_dev,amount_avg_20,ret_rank_20
002218,拓日新能,4.42,0.799300799086758,0.7999999999999999,0.9634703196347032,0.6638127853881279,,0.6872146118721462,0.49726816309925015,0.018433179723502224,0.21854304635761587,-0.44472361809045224,1.0,300,6775.0,0.16315789473684217,0.13043478260869557,2.5275009785148104,217187753.3035,,0,1,,,,,,0,0,,2008-02-28,2026-09-16,984620289.28,2.952043,4.34,1.0,0.09378866617173975,0.12520683949255362,217187753.3035,0.9274116523400191
601218,吉鑫科技,5.22,0.7953053652968036,0.7999999999999999,0.9817351598173516,0.6638127853881279,,0.6232876712328768,0.9020869756598455,0.036260584200837664,0.3053448540353887,-0.35265705755101984,1.0,300,5612.0,0.19724770642201817,0.15231788079470188,2.598491667115036,182934740.71649998,,0,1,,,,,,0,0,,2011-05-06,2026-09-16,1309042901.84,2.744354,5.037343,1.0,0.1366358192705499,0.1755432946740234,182934740.71649998,0.9478510028653295
605580,恒盛能源,23.02,0.7925941780821918,0.7999999999999999,0.8493150684931507,0.7311643835616438,,0.7831050228310502,2.004981062875639,0.03174475118906117,0.2505490699823485,-0.4795134739762389,0.7363636363636362,300,1854.0,0.28819250139899255,-0.245493280891511,1.581532920651494,297159066.5975,,0,3,,,,,,0,0,,2021-08-19,2026-09-16,454692297.4,7.660614,22.31172,0.4978932584269662,0.1280719378629358,0.13811089412404498,297159066.5975,0.975549188156638
002519,银河电子,6.09,0.7915953196347033,0.7999999999999999,0.9155251141552512,0.6638127853881279,,0.7579908675799086,0.347345132743363,-0.06018518518518523,0.22366522366522362,-0.46904969485614656,0.7981651376146791,300,5762.0,0.1622137404580153,0.0,2.0548949822410636,275352089.117,,0,1,,,,,,0,0,,2010-12-07,2026-09-16,387783108.61,4.52,6.48,0.8543046357615895,0.07020472717687376,0.10516287088286003,275352089.117,0.926647564469914
300563,神宇股份,27.15,0.791095890410959,0.7999999999999999,0.928082191780822,0.6638127853881279,,0.726027397260274,-0.006799490925293417,-0.25485026607197414,0.2233152918084424,-0.4378425743869897,0.746945898778359,300,3593.0,0.20827770360480646,-0.03208556149732633,1.9973586351936043,247198556.0755,,0,1,,,,,,0,0,,2016-11-14,2026-09-16,420984038.48,27.33587,36.43563,0.7020785219399536,0.08859084621398927,0.1108762215205843,247198556.0755,0.9530085959885387
002617,露笑科技,7.02,0.7897070015220701,0.9999999999999999,0.7671232876712328,0.9126712328767124,0.5555555555555556,0.908675799086758,0.34999999999999987,-0.1333333333333333,0.25246548323471385,-0.35060129509713234,1.0,300,5475.0,0.11961722488038284,-0.25556733828207845,1.5706289270492666,516539863.67700005,碳化硅衬底|半导体材料|大尺寸拓展,1,1,,,0.0,,,3,3,碳化硅衬底+半导体材料+大尺寸拓展,2011-09-20,2026-09-16,767538133.36,5.2,8.1,0.28131868131868126,0.11517077045274027,0.014670810146708124,516539863.67700005,0.8844317096466093
002790,瑞尔特,7.06,0.7802511415525114,0.7999999999999999,0.9874429223744292,0.7391552511415524,,0.3789954337899543,0.05965735844230946,-0.15706625626379778,0.2735599861160952,-0.41162940319553576,0.3440233236151602,300,3844.0,0.2109777015437393,0.2607142857142857,2.6454093727072174,121232100.95900002,,0,4,,,,,,0,0,,2016-03-08,2026-09-16,482844536.34,6.662531,8.37551,0.4525547445255473,0.03808263490663144,0.17732073374096724,121232100.95900002,0.95396370582617
600596,新安股份,12.34,0.7736872146118722,0.7999999999999999,0.79337899543379,0.6638127853881279,,0.9474885844748858,0.7255258833776623,0.08310505329069962,0.33613534473786344,-0.30674157303370786,0.7725490196078432,300,9141.0,0.15219421101774033,-0.28629265471370735,1.5352822553892882,804122407.504,,0,1,,,,,,0,0,,2001-09-06,2026-09-16,1112045108.77,7.151443,11.39317,0.31407035175879394,0.08392990469498018,0.056115025818046727,804122407.504,0.9182425978987584
002212,天融信,6.99,0.7706906392694064,0.7999999999999999,0.7591324200913242,0.716324200913242,,0.906392694063927,0.5315848287648721,-0.22932745314222713,0.29604130808950097,-0.36913357400722024,0.5491329479768788,300,6802.0,0.10952380952380958,0.16306156405990024,1.5828963937026135,514200455.8450001,,0,2,,,,,,0,0,,2008-02-01,2026-09-16,320673240.0,4.5639,9.07,0.6880000000000003,0.05413964711204944,0.1208509273611631,514200455.8450001,0.8691499522445081
600192,长城电工,7.79,0.7659817351598174,0.7999999999999999,0.930365296803653,0.716324200913242,,0.4817351598173516,0.5038610038610039,-0.23175542406311644,0.3491773308957953,-0.3136563876651982,0.5240641711229949,300,10128.0,0.14896755162241893,0.08798882681564235,2.301773756532237,140707047.6645,,0,2,,,,,,0,0,,1998-12-24,2026-09-16,245634942.64,5.18,10.14,0.6821428571428573,0.05441256090958313,0.12574965678364136,140707047.6645,0.914422158548233
